site_code,project_code,project_title,site_type,subtype,stage,target_group_name,commodity_group_name,development_region,lga_name,longitude,latitude,active_flag
S0002501,J04342,Mt Ida South,Mine,Openpit,Proposed,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","MENZIES, SHIRE OF",120.530612,-29.168561,Y
S0002815,J00251,Randalls - Mt Monger,Mine,Decline,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","KALGOORLIE-BOULDER, CITY OF",121.921372,-31.013124,Y
S0003101,J00181,Kanowna - Golden Valley,Mine,Decline,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","KALGOORLIE-BOULDER, CITY OF",121.578017,-30.60898,Y
S0003946,J01307,Gordon - Sirdar,Mine,Openpit,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","KALGOORLIE-BOULDER, CITY OF",121.594507,-30.450334,Y
S0004113,J06760,Bruno-Lewis,Mine,Openpit,Proposed,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","LEONORA, SHIRE OF",121.59805,-28.797447,Y
S0004360,J00240,Mt Celia - Kangaroo Bore,Mine,Unspecified,Care And Maintenance,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","MENZIES, SHIRE OF",122.498168,-29.45981,Y
S0004457,J02010,Ulysses Gold,Mine,Openpit,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","MENZIES, SHIRE OF",121.366721,-29.198572,Y
S0004791,J00082,Darlot,Mine,Decline,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","LEONORA, SHIRE OF",121.268908,-27.887515,Y
S0004886,J00019,Binduli,Mine,Openpit,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","KALGOORLIE-BOULDER, CITY OF",121.383338,-30.774454,Y
S0005040,J00480,Murrin Murrin / Minara,Mine,Openpit,Operating,NICKEL,Steel alloy metal,"GOLDFIELDS-ESPERANCE, Development Region","LAVERTON, SHIRE OF",121.89551,-28.747155,Y
S0005573,J01011,Menzies,Mine,Openpit,Care And Maintenance,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","MENZIES, SHIRE OF",121.015109,-29.683577,Y
S0005673,J00152,Higginsville,Mine,Unspecified,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","COOLGARDIE, SHIRE OF",121.680308,-31.847276,Y
S0005907,J02197,East Menzies Gold,Mine,Openpit,Care And Maintenance,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","MENZIES, SHIRE OF",121.091807,-29.664048,Y
S0006621,J01703,Sunrise Dam,Mine,Decline,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","LAVERTON, SHIRE OF",122.419363,-29.079391,Y
S0016701,J02232,NiWest / GME,Deposit,Unspecified,Undeveloped,NICKEL,Steel alloy metal,"GOLDFIELDS-ESPERANCE, Development Region","LEONORA, SHIRE OF",121.807306,-29.043097,Y
S0016715,J02352,Kalgoorlie Nickel Project,Deposit,Unspecified,Undeveloped,NICKEL,Steel alloy metal,"GOLDFIELDS-ESPERANCE, Development Region","MENZIES, SHIRE OF",121.149012,-30.020487,Y
S0017018,J03296,Windarra Gold Tailings,Mine,Tailings storage facility,Proposed,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","LAVERTON, SHIRE OF",122.248758,-28.499924,Y
S0017147,J03406,Aphrodite,Mine,Decline,Proposed,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","KALGOORLIE-BOULDER, CITY OF",121.229587,-30.181097,Y
S0018854,J04549,Carbine / Evolution,Mine,Openpit,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","COOLGARDIE, SHIRE OF",120.938312,-30.474917,Y
S0019514,J01726,Jundee - Nimary,Mine,Decline,Operating,GOLD,Precious metal,"MID-WEST, Development Region","WILUNA, SHIRE OF",120.604113,-26.372535,Y
S0019642,J00186,Tarmoola - King of the Hills,Mine,Openpit,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","LEONORA, SHIRE OF",121.166076,-28.663843,Y
S0019710,J01718,Kundana East,Mine,Decline,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","COOLGARDIE, SHIRE OF",121.243609,-30.727556,Y
S0021532,J02624,Matilda,Mine,Decline,Operating,GOLD,Precious metal,"MID-WEST, Development Region","WILUNA, SHIRE OF",120.246706,-26.620317,Y
S0021542,J00102,Golden Mile / KCGM,Mine,Openpit,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","KALGOORLIE-BOULDER, CITY OF",121.50353,-30.777958,Y
